tidspunkt,temperatur,trykk,fuktighet,pm25,pm10
2022-11-18 08:29:23.714976,20.41324476769632,1005.9941404084311,21.313778267047233,2,2
2022-11-18 08:29:56.437395,20.473320853615846,1006.0133112817838,21.27347945600565,1,1
2022-11-18 08:30:29.235899,20.317674275059233,1006.0155978750386,21.18832716056164,1,1
2022-11-18 08:31:03.705004,20.703536344536726,1006.0112751277546,21.079309549479976,0,0
2022-11-18 08:31:36.499234,20.755081416873633,1006.0111711420208,21.17838384133066,1,1
2022-11-18 08:32:09.290017,20.665014201688628,1006.061232110279,21.10247358495174,1,1
2022-11-18 08:32:42.013219,20.32519437207735,1006.1212993078755,21.299578314274104,1,1
2022-11-18 08:33:14.799232,20.263283973903967,1006.1328350092858,21.362008354851802,0,0
2022-11-18 08:33:47.598191,20.17752665698529,1006.1106562377238,21.4250629198518,1,2
2022-11-18 08:34:20.322147,20.55403380730699,1006.1730554734164,21.15524321913699,1,1
2022-11-18 08:34:53.115045,20.85734844063299,1006.2089474628337,21.087170017191813,2,2
2022-11-18 08:35:25.909069,20.508632764596694,1006.2394231618755,21.134374577821045,2,2
2022-11-18 08:35:58.630749,20.498085049907317,1006.2603678415554,21.140188015378516,1,1
2022-11-18 08:36:31.420400,20.596224689708063,1006.2964291133853,21.076717849922105,1,1
2022-11-18 08:37:04.215771,20.669141573582415,1006.2799621496717,21.01944665502053,2,2
2022-11-18 08:37:36.938112,20.73398598715496,1006.2705698986953,21.129223443946355,2,2
2022-11-18 08:38:09.735746,20.360506242216452,1006.2818025151796,21.232330144312712,1,1
2022-11-18 08:38:42.525728,20.69317092647749,1006.3144593044535,21.16901515882514,2,2
2022-11-18 08:39:15.244786,20.21604865320314,1006.3092659724491,21.302520527683313,1,1
2022-11-18 08:39:48.041589,20.284379365475655,1006.3343047096116,21.262010982210754,2,2
2022-11-18 08:40:20.831214,20.56137135107397,1006.3608418332587,21.072144353548687,1,2
2022-11-18 08:40:53.544648,20.405907232415935,1006.3690806052197,21.15927371215871,1,1
2022-11-18 08:41:26.340562,20.720045837875798,1006.3699729847764,20.92959811166257,1,1
2022-11-18 08:41:59.130324,20.495792068568058,1006.4079732522332,21.09604215007707,2,2
2022-11-18 08:42:31.855846,20.961632192267672,1006.4182224763695,21.07980230583707,2,2
2022-11-18 08:43:04.646971,20.692530016826353,1006.4288342283426,20.90824525201004,2,2
2022-11-18 08:43:37.438904,20.566874509175086,1006.4032807647822,20.99461886401989,1,1
2022-11-18 08:44:10.156608,20.720045837875798,1006.4027795454223,20.868786766748716,2,2
2022-11-18 08:44:42.956307,20.782415054141023,1006.4020760394934,20.828356879118463,2,3
2022-11-18 08:45:15.751166,20.591638723556407,1006.4311150771517,20.94972168403168,2,2
2022-11-18 08:45:48.475700,20.859918019616266,1006.4045558656009,20.781967405840607,2,2
2022-11-18 08:46:21.265609,20.621447506477505,1006.4456284998497,20.921263411074325,1,1
2022-11-18 08:46:54.057405,20.744810081874814,1006.4513314850518,20.834929400622013,2,2
2022-11-18 08:47:26.780193,20.621906103192018,1006.4426909943945,20.921250755573087,2,2
2022-11-18 08:47:59.575031,20.689778435046556,1006.4671802825438,20.85304051282254,3,3
2022-11-18 08:48:32.367586,20.484785758711066,1006.4905439014984,20.991347446342324,2,2
2022-11-18 08:49:05.185089,20.723714614462388,1006.5139563121007,20.81892935513491,2,3
2022-11-18 08:49:37.878394,20.940631216948912,1006.5142562956264,20.68017103544562,2,2
2022-11-18 08:50:10.678964,20.737931124728092,1006.5264819034049,20.790891513228562,2,2
2022-11-18 08:50:43.396535,20.77645328950866,1006.5007092149422,20.767703973897337,2,2
2022-11-18 08:51:16.188898,20.829191986272274,1006.4943625380852,20.721998742530452,2,2
2022-11-18 08:51:48.987824,20.674644736314374,1006.474343000947,20.820291772499516,1,1
2022-11-18 08:52:21.706134,20.751689039391017,1006.5143178565528,20.762864970041733,1,1
2022-11-18 08:52:54.505734,20.671893154918834,1006.5092349607305,20.831424177686625,1,1
2022-11-18 08:53:27.298947,20.748020262003063,1006.524008095151,20.768495938490954,2,2
2022-11-18 08:54:00.018163,20.382518841515306,1006.5067632517196,21.043882634702225,2,4
2022-11-18 08:54:34.559722,20.425168263423554,1006.4942974307202,21.020612767695575,1,1
2022-11-18 08:55:07.287272,20.562288544074402,1006.5034345799249,20.922895644460876,1,1
2022-11-18 08:55:40.081216,20.670517364243235,1006.5180480015422,20.83699033108381,0,1
2022-11-18 08:56:12.869581,20.537524335368328,1006.52566099931,20.912525279399404,2,2
2022-11-18 08:56:45.597706,20.952277993170327,1006.5245474908638,20.80816548428269,4,4
2022-11-18 08:57:18.392418,20.726924794061865,1006.545191347452,20.763554852984612,2,2
2022-11-18 08:57:51.183522,20.564122930094968,1006.571098738164,20.88968326763291,2,2
2022-11-18 08:58:23.906722,20.726466196971298,1006.5619426862264,20.763567627524505,0,0
2022-11-18 08:58:56.702929,20.959615546054486,1006.5897749369641,20.769262213411835,1,1
2022-11-18 08:59:29.493432,20.926596561386326,1006.5906452969798,20.786766216937963,2,2
2022-11-18 09:00:02.219527,21.062799928010598,1006.6349612088859,20.677916411293918,2,3
2022-11-18 09:00:35.011066,20.91494973955274,1006.6408288736377,20.620056431433945,2,2
2022-11-18 09:01:07.805745,20.729676376639745,1006.6622455875221,20.735835076797823,1,1
2022-11-18 09:01:40.529565,20.634746811865156,1006.6936551521078,20.821399204020757,3,3
2022-11-18 09:02:13.326774,20.80763790757952,1006.6721783808437,20.689424641663237,2,2
2022-11-18 09:02:46.115274,20.604479429194864,1006.6837979038521,20.822239128010658,2,2
2022-11-18 09:03:18.834818,20.596224689708063,1006.6986876557635,20.861159545168505,1,2
2022-11-18 09:03:51.626959,20.537524335368328,1006.7155568235071,20.89594506313341,2,2
2022-11-18 09:04:24.417416,20.742058498971787,1006.7262395449334,20.73548961220478,1,1
2022-11-18 09:04:57.141770,20.609065395806322,1006.7183035955007,20.81658439269646,1,1
2022-11-18 09:05:29.934675,20.69528159866527,1006.6995531195224,20.7644362049435,3,3
2022-11-18 09:06:02.725407,20.526059425551946,1006.716476855398,20.868628372571564,2,2
2022-11-18 09:06:35.447264,20.358213263340403,1006.7124464813576,20.98929758299897,1,1
2022-11-18 09:07:08.242824,20.608606799137785,1006.6936175072435,20.838706993020978,1,1
2022-11-18 09:07:41.028021,20.438926144488228,1006.7048174415145,20.953926411547066,3,3
2022-11-18 09:08:13.753525,20.758109400072826,1006.6890280461765,20.718455030818966,4,4
2022-11-18 09:08:46.546945,20.62740926389429,1006.6940384852362,20.799492215135192,2,2
2022-11-18 09:09:19.341874,20.61548574933824,1006.7082571632309,20.79429593193015,1,2
2022-11-18 09:09:52.059895,20.93026533704018,1006.7139059455467,20.75349458633165,1,2
2022-11-18 09:10:24.853582,20.40544863647487,1006.7103274351572,20.943796512494945,2,2
2022-11-18 09:10:57.642176,20.600352059384957,1006.6860634873931,20.81682623969766,0,0
2022-11-18 09:11:30.361594,20.86606177827118,1006.6848904200829,20.79397728384931,2,2
2022-11-18 09:12:03.160201,20.51367732410304,1006.6766608206495,20.863444303623428,2,2
2022-11-18 09:12:35.957271,20.508632764596694,1006.6727154255121,20.86358388687352,2,2
2022-11-18 09:13:08.674284,20.44121912480936,1006.6694204603024,20.904130412205394,2,2
2022-11-18 09:13:41.471904,20.471486468895858,1006.6879163235762,20.886716466364916,2,2
2022-11-18 09:14:14.267779,20.657400434556553,1006.6781612136568,20.937917324137434,3,3
2022-11-18 09:14:46.987362,20.426085455448554,1006.6800226523508,20.921125359039852,1,1
2022-11-18 09:15:19.780998,20.840838960417926,1006.675525083877,20.800205734977816,1,1
2022-11-18 09:15:52.577510,20.535689949728734,1006.6875994661095,20.840727929785047,2,2
2022-11-18 09:16:25.299061,20.943288344805023,1006.7169475817414,20.89241999046541,2,2
2022-11-18 09:16:58.093087,20.549906439122804,1006.7242995016971,20.82928007685323,1,1
2022-11-18 09:17:30.884829,20.57237766751267,1006.7547441382507,20.80654823368057,1,1
2022-11-18 09:18:03.604043,20.592097320164182,1006.7510196538461,20.783891122346578,1,1
2022-11-18 09:18:36.395547,20.479741200342726,1006.7714251424909,20.864383227509755,2,2
2022-11-18 09:19:09.194315,20.380225862245148,1006.7751719568344,20.92238944832421,1,1
2022-11-18 09:19:41.919065,20.438467548428928,1006.7923351215196,20.882102701661502,1,1
2022-11-18 09:20:14.712540,20.895870569411205,1006.7874650734184,20.748924930956214,2,2
2022-11-18 09:20:47.506086,20.476531026939053,1006.7971611644814,20.85341945192581,2,2
2022-11-18 09:21:20.227269,20.803051933857585,1006.808623682813,20.634259043458286,3,3
2022-11-18 09:21:53.018935,20.7645297610765,1006.8378398894653,20.635340111246276,1,1
2022-11-18 09:22:25.808190,20.779663470430062,1006.8565816208743,20.629386198552872,0,0
2022-11-18 09:22:58.534692,20.759485191689375,1006.8822441865976,20.641010717622706,2,2
2022-11-18 09:23:31.328474,20.66730718605764,1006.8925595907624,20.68782138974079,1,2
2022-11-18 09:24:04.125876,20.797090168264567,1006.9089844960299,20.61230875754758,2,2
2022-11-18 09:24:36.846666,20.537065738955967,1006.9239275312415,20.779894070997223,2,2
2022-11-18 09:25:09.644305,20.600352059384957,1006.9225874641529,20.750496626442985,2,2
2022-11-18 09:25:42.430074,20.55586819320932,1006.9519778873578,20.779371264419613,1,1
2022-11-18 09:26:15.148841,20.426085455448554,1006.9855465717962,20.860341453732136,2,2
2022-11-18 09:26:47.953135,20.73765475729121,1007.0118031128487,20.8196509899992,2,2
2022-11-18 09:27:20.748480,20.607231009142033,1007.0529026359923,20.761360129789093,2,2
2022-11-18 09:27:53.464528,20.863768794624708,1007.0673223714224,20.727708475947594,3,3
2022-11-18 09:28:26.256831,20.542110299582255,1007.0677085605473,20.779753812238692,1,1
2022-11-18 09:28:59.048635,20.652173489980807,1007.0775499794526,20.69930068688035,2,2
2022-11-18 09:29:31.773455,20.842032715728376,1007.0683123959795,20.572336812028375,2,2
2022-11-18 09:30:04.570993,20.57879801920539,1007.0589064929299,20.72346024705298,2,2
